NLCD Value,NLCD Description,Select service,"MIN of Constant USD, (2018)","AVERAGE of Constant USD, (2018)","MAX of Constant USD, (2018)"
52,Shrub/Scrub,Water Supply,86.13,"3,198.11","6,310.09"
71,Grassland/Herbaceous,Aesthetic,268.33,"3,524.60","12,148.72"
71,Grassland/Herbaceous,Biodiversity,0.02,176.78,768.35
71,Grassland/Herbaceous,Climate Regulation,0.08,81.66,438.05
71,Grassland/Herbaceous,Erosion Control,45.81,"11,434.82","68,191.34"
71,Grassland/Herbaceous,Food/Nutrition,96.64,96.64,96.64
71,Grassland/Herbaceous,Pollination,42.53,42.53,42.53
71,Grassland/Herbaceous,Protection from extreme events,160.60,"5,151.43","10,142.26"
71,Grassland/Herbaceous,Raw materials,30.03,"51,133,061.13","102,266,092.23"
71,Grassland/Herbaceous,Recreation,0.74,"12,806.58","38,417.65"
71,Grassland/Herbaceous,Soil Formation,9.30,9.30,9.30
71,Grassland/Herbaceous,Waste Assimilation,12.29,"14,065.33","53,588.79"
71,Grassland/Herbaceous,Water Supply,6.65,21.54,36.43
81,Pasture/Hay,Aesthetic,268.33,286.98,305.63
81,Pasture/Hay,Food/Nutrition,58.60,58.60,58.60
82,Cultivated Crops,Aesthetic,91.75,"20,124.70","48,207.41"
82,Cultivated Crops,Air quality,95.88,254.11,412.33
82,Cultivated Crops,Biodiversity,37.68,649.51,"2,729.01"
82,Cultivated Crops,Climate Regulation,1.10,587.28,"2,404.39"
82,Cultivated Crops,Erosion Control,71.59,130.87,190.16
82,Cultivated Crops,Food/Nutrition,38.35,"6,026.48","20,460.53"
82,Cultivated Crops,Pollination,26.58,"1,349.44","5,210.47"
82,Cultivated Crops,Raw materials,19.18,136.64,254.11
82,Cultivated Crops,Recreation,1.93,39.30,126.56
82,Cultivated Crops,Soil Formation,19.08,290.52,560.97
82,Cultivated Crops,Waste Assimilation,251.23,304.14,346.66
82,Cultivated Crops,Water Supply,115.08,249.32,383.57
90,Woody Wetlands,Aesthetic,100.80,"10,347.57","36,729.46"
90,Woody Wetlands,Air quality,16.73,204.18,345.21
90,Woody Wetlands,Biodiversity,4.16,"3,963.26","72,247.42"
90,Woody Wetlands,Climate Regulation,2.30,"1,571.62","12,745.09"
90,Woody Wetlands,Erosion Control,117.14,446.89,"1,035.22"
90,Woody Wetlands,Extreme Events,604.61,"6,888.66","21,423.35"
90,Woody Wetlands,Food/Nutrition,0.01,"1,649.45","44,244.34"
90,Woody Wetlands,Protection from extreme events,44.66,"27,933.98","288,618.22"
90,Woody Wetlands,Raw materials,0.01,199.22,"1,935.09"
90,Woody Wetlands,Recreation,9.99,"8,129.43","138,671.80"
90,Woody Wetlands,Soil Formation,327.94,"2,423.70","5,557.61"
90,Woody Wetlands,Waste Assimilation,50.72,"16,964.80","115,769.05"
90,Woody Wetlands,Water Supply,86.13,"119,975.17","771,893.85"
95,Emergent Herbaceous Wetlands,Aesthetic,63.21,"8,788.77","36,729.46"
95,Emergent Herbaceous Wetlands,Air Quality,16.73,157.17,256.90
95,Emergent Herbaceous Wetlands,Biodiversity,0.18,700.02,"7,448.36"
95,Emergent Herbaceous Wetlands,Climate Regulation,2.30,"184,923.91","3,862,456.15"
95,Emergent Herbaceous Wetlands,Erosion Control,107.44,"4,704.88","13,542.26"
95,Emergent Herbaceous Wetlands,Extreme Events,604.61,"6,888.66","21,423.35"
95,Emergent Herbaceous Wetlands,Food/Nutrition,0.00,"1,090.58","44,244.34"
95,Emergent Herbaceous Wetlands,Pollination,20.79,20.79,20.79
95,Emergent Herbaceous Wetlands,Protection from extreme events,2.75,"19,829.51","288,618.22"
95,Emergent Herbaceous Wetlands,Raw materials,0.00,209.83,"5,763.60"
95,Emergent Herbaceous Wetlands,Recreation,0.38,"4,505.24","138,671.80"
95,Emergent Herbaceous Wetlands,Soil Formation,3.80,"715,464.39","5,000,640.43"
95,Emergent Herbaceous Wetlands,Waste Assimilation,5.12,"37,223.65","943,941.03"
95,Emergent Herbaceous Wetlands,Water Supply,0.18,"50,954.26","771,893.85"
